empresa;qtde;vl_pago;vl_atual;lucro_des;al_comprar;al_vender;status;table_code;profit
ITSA4;1;9,72;9,02;0;0,0;10,52;0;itausa-pn-ITSA4;0
KLBN4;13;5,0;4,76;0;4,78;5,27;0;klabin-pn-KLBN4;0
WEGE3;0;0,0;64,25;0;0,0;0,0;1;weg-on-WEGE3;0
PRIO3;0;0,0;35,5;0;0,0;0,0;1;petrorio-on-PRIO3;0
PETR4;0;0,0;20,13;0;0,0;0,0;1;petrobras-pn-PETR4;0
BBSE3;0;0,0;25,03;0;0,0;0,0;1;bb-seguridade-on-BBSE3;0
BBDC4;0;0,0;19,78;0;0,0;0,0;1;bradesco-pn-BBDC4;0
ITUB4;0;0,0;22,91;0;0,0;0,0;1;itau-unibanco-pn-ITUB4;0
CYRE3;0;0,0;23,6;0;0,0;0,0;1;cyrela-realt-on-CYRE3;0
BRDT3;0;0,0;20,88;0;0,0;0,0;1;petrobras-br-on-BRDT3;0
CSNA3;0;0,0;15,91;0;0,0;0,0;1;sid-nacional-on-CSNA3;0
BRSR6;0;0,0;12,25;0;0,0;0,0;1;banrisul-pnb-BRSR6;0
TIET11;1;14,9;14,59;0;0,0;15,44;0;aes-tiete-TIET11;0
TAEE11;0;0,0;28,3;0;0,0;0,0;1;taesa-TAEE11;0
CMIG4;1;10,96;10,54;0;0,0;11,2;0;cemig-pn-CMIG4;0
MGLU3;0;0,0;90,63;0;0,0;0,0;1;magazine-luiza-on-MGLU3;0
ABEV3;0;0,0;12,84;0;0,0;0,0;1;ambev-s-a-on-ABEV3;0
AZUL4;0;0,0;26,78;0;0,0;0,0;1;azul-pn-AZUL4;0
GOLL4;0;0,0;17,84;0;0,0;0,0;1;gol-pn-GOLL4;0
GGBR4;0;0,0;20,51;0;0,0;0,0;1;gerdau-pn-GGBR4;0
EGIE3;0;0,0;41,65;0;0,0;0,0;1;engie-brasil-on-EGIE3;0
SMLS3;3;15,13;15,01;0;0,0;17,0;0;smiles-on-SMLS3;0
BBAS3;0;0,0;30,3;0;0,0;0,0;1;banco-do-brasil-on-BBAS3;0
SAPR11;0;0,0;26,43;0;0,0;0,0;1;sanepar-SAPR11;0
ITUB3;0;0,0;21,78;0;0,0;0,0;1;itau-unibanco-on-ITUB3;0
BBDC3;0;0,0;18,39;0;0,0;0,0;1;bradesco-on-BBDC3;0
ENBR3;0;0,0;18,04;0;0,0;0,0;1;energias-br-on-ENBR3;0
CIEL3;0;0,0;4,15;0;0,0;0,0;1;cielo-on-CIEL3;0
EMBR3;0;0,0;6,12;0;0,0;0,0;1;embraer-on-EMBR3;0
TAEE4;0;0,0;9,46;0;0,0;0,0;1;taesa-pn-TAEE4;0
IRBR3;0;0,0;7,17;0;0,0;0,0;1;irb-brasil-on-IRBR3;0
GRND3;0;0,0;7,87;0;0,0;0,0;1;grendene-on-GRND3;0
TECN3;0;0,0;1,03;0;0,0;0,0;1;technos-on-TECN3;0
B3SA3;0;0,0;57,35;0;0,0;0,0;1;b3-sa-brasil-bolsa-bal-on-B3SA3;0
PSSA3;0;0,0;49,17;0;0,0;0,0;1;porto-seguro-on-PSSA3;0
LEVE3;0;0,0;16,81;0;0,0;0,0;1;metal-leve-on-LEVE3;0
FLRY3;0;0,0;27,32;0;0,0;0,0;1;fleury-on-FLRY3;0
SAPR4;0;0,0;5,27;0;0,0;0,0;1;sanepar-pn-SAPR4;0
