;Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date;mme15;mme45;mme70
0;09/25/2020;6.40;0.19;3.06%;6.22;6.47;6.17;1.304.900;2020-09-25;6,274666666666667;;
1;09/24/2020;6.21;0.02;0.32%;6.19;6.33;6.16;996.000;2020-09-24;6,27;;
2;09/23/2020;6.19;-0.23;-3.58%;6.41;6.49;6.15;1.502.400;2020-09-23;6,268666666666666;;
3;09/22/2020;6.42;-0.06;-0.93%;6.54;6.72;6.27;3.693.900;2020-09-22;6,281333333333333;;
4;09/21/2020;6.48;0.40;6.58%;6.25;6.48;6.11;3.105.600;2020-09-21;6,262;;
5;09/18/2020;6.08;-0.24;-3.8%;6.35;6.35;6.08;886.200;2020-09-18;6,221333333333333;;
6;09/17/2020;6.32;0.02;0.32%;6.25;6.38;6.16;673.300;2020-09-17;6,212;;
7;09/16/2020;6.30;0.08;1.29%;6.26;6.32;6.21;470.200;2020-09-16;6,181333333333333;;
8;09/15/2020;6.22;-0.07;-1.11%;6.42;6.42;6.20;786.200;2020-09-15;6,156666666666666;;
9;09/14/2020;6.29;0.21;3.45%;6.14;6.34;6.03;1.405.900;2020-09-14;6,147333333333333;;
10;09/11/2020;6.08;-0.06;-0.98%;6.17;6.28;5.98;830.600;2020-09-11;6,129999999999999;;
11;09/10/2020;6.14;-0.16;-2.54%;6.34;6.40;6.11;984.000;2020-09-10;6,132;;
12;09/09/2020;6.30;-0.06;-0.94%;6.36;6.44;6.21;958.500;2020-09-09;;;
13;09/08/2020;6.36;0.03;0.47%;6.30;6.47;6.15;1.365.300;2020-09-08;;;
14;09/07/2020;6.33;0.00;+0.00%;6.23;6.39;5.96;0;2020-09-07;;;
15;09/04/2020;6.33;0.14;2.26%;6.23;6.39;5.96;3.457.100;2020-09-04;;;
16;09/03/2020;6.19;-0.19;-2.98%;6.46;6.54;6.17;1.633.500;2020-09-03;;;
17;09/02/2020;6.38;0.25;4.08%;6.20;6.45;6.07;1.641.000;2020-09-02;;;
18;09/01/2020;6.13;0.26;4.43%;6.00;6.18;5.93;1.588.400;2020-09-01;;;
19;08/31/2020;5.87;-0.07;-1.18%;5.91;5.95;5.81;598.800;2020-08-31;;;
20;08/28/2020;5.94;0.08;1.37%;5.85;5.99;5.77;657.000;2020-08-28;;;
21;08/27/2020;5.86;-0.07;-1.18%;5.97;5.97;5.71;680.900;2020-08-27;;;
22;08/26/2020;5.93;-0.15;-2.47%;6.14;6.19;5.81;1.184.100;2020-08-26;;;
23;08/25/2020;6.08;0.05;0.83%;6.05;6.14;6.02;1.032.600;2020-08-25;;;
24;08/24/2020;6.03;-0.08;-1.31%;6.14;6.28;5.96;1.664.100;2020-08-24;;;
25;08/21/2020;6.11;0.00;+0.00%;5.88;6.25;5.81;0;2020-08-21;;;
